time_s,csp_out_V
2.344943227651791618e-04,-6.845265306765213609e-05
2.345455227651688658e-04,-6.838396802777424455e-05
2.345967227651585697e-04,-6.831535574747249484e-05
2.346479227651482736e-04,-6.824680895078927279e-05
2.346991227651379775e-04,-6.817833491368219256e-05
2.347503227651276815e-04,-6.810992636019363999e-05
2.348015227651173854e-04,-6.804159056628122926e-05
2.348527227651070893e-04,-6.797332025598734617e-05
2.349039227650967932e-04,-6.790511542931199074e-05
2.349551227650864972e-04,-6.783698336221277714e-05
2.350063227650762011e-04,-6.776892405468970537e-05
2.350575227650659050e-04,-6.770092295482754707e-05
2.351087227650556089e-04,-6.763299461454153061e-05
2.351599227650453129e-04,-6.756513903383165598e-05
2.352111227650350168e-04,-6.749734893674030900e-05
2.352623227650247207e-04,-6.742962432326748967e-05
2.353135227650144246e-04,-6.736196519341319799e-05
2.353647227650041286e-04,-6.729437882313504815e-05
2.354159227649938325e-04,-6.722685793647542596e-05
2.354671227649835364e-04,-6.715940980939194560e-05
2.355183227649732404e-04,-6.709201988996937871e-05
2.355695227649629443e-04,-6.702470273012295365e-05
2.356207227649526482e-04,-6.695745832985267043e-05
2.356719227649423521e-04,-6.689027213724330068e-05
2.357231227649320561e-04,-6.682315870421007276e-05
2.357743227649217600e-04,-6.675611075479537249e-05
2.358255227649114639e-04,-6.668913556495681405e-05
2.358767227649011678e-04,-6.662221858277916908e-05
2.359279227648908718e-04,-6.655537436017766595e-05
2.359791227648805757e-04,-6.648859562119469047e-05
2.360303227648702796e-04,-6.642188236583024263e-05
2.360815227648599835e-04,-6.635524187004193664e-05
2.361327227648496875e-04,-6.628865958191454411e-05
2.361839227648393914e-04,-6.622215005336329341e-05
2.362351227648290953e-04,-6.615570600843057036e-05
2.362863227648187992e-04,-6.608932744711637497e-05
2.363375227648085032e-04,-6.602302164537832141e-05
2.363887227647982071e-04,-6.595677405130118132e-05
2.364399227647879110e-04,-6.589059921680018306e-05
2.364911227647776149e-04,-6.582448258996009827e-05
2.365423227647673189e-04,-6.575843872269615531e-05
2.365935227647570228e-04,-6.569246033905074000e-05
2.366447227647467267e-04,-6.562654743902385235e-05
2.366959227647364307e-04,-6.556070002261549234e-05
2.367471227647261346e-04,-6.549492536578327417e-05
2.367983227647158385e-04,-6.542920891661196947e-05
2.368495227647055424e-04,-6.536355795105919242e-05
2.369007227646952464e-04,-6.529797974508255720e-05
2.369519227646849503e-04,-6.523245974676683545e-05
2.370031227646746542e-04,-6.516700523206964135e-05
2.370543227646643581e-04,-6.510162347694858909e-05
2.371055227646540621e-04,-6.503629992948845029e-05
2.371567227646437660e-04,-6.497104914160445333e-05
2.372079227646334699e-04,-6.490585656138136983e-05
2.372591227646231738e-04,-6.484073674073442817e-05
2.373103227646128778e-04,-6.477567512774839997e-05
2.373615227646025817e-04,-6.471068627433851361e-05
2.374127227645922856e-04,-6.464575562858954072e-05
2.374639227645819895e-04,-6.458089774241670966e-05
2.375151227645716935e-04,-6.451609806390479207e-05
2.375663227645613974e-04,-6.445136386901140213e-05
2.376175227645511013e-04,-6.438669515773653984e-05
2.376687227645408052e-04,-6.432209920603781939e-05
2.377199227645305092e-04,-6.425756146200001240e-05
2.377711227645202131e-04,-6.419308192562311888e-05
2.378223227645099170e-04,-6.412867514882236719e-05
2.378735227644996209e-04,-6.406433385564014316e-05
2.379247227644893249e-04,-6.400005804607644677e-05
2.379759227644790288e-04,-6.393584044417366385e-05
2.380271227644687327e-04,-6.387168832588940859e-05
2.380783227644584367e-04,-6.380760169122368097e-05
2.381295227644481406e-04,-6.374358054017648101e-05
2.381807227644378445e-04,-6.367962487274780869e-05
2.382319227644275484e-04,-6.361573468893766403e-05
2.382831227644172524e-04,-6.355190271278843284e-05
2.383343227644069563e-04,-6.348813622025772929e-05
2.383855227643966602e-04,-6.342443521134555340e-05
2.384367227643863641e-04,-6.336079968605190516e-05
2.384879227643760681e-04,-6.329722964437678456e-05
2.385391227643657720e-04,-6.323371781036257744e-05
2.385903227643554759e-04,-6.317027145996689796e-05
2.386415227643451798e-04,-6.310689059318974614e-05
2.386927227643348838e-04,-6.304357521003112197e-05
2.387439227643245877e-04,-6.298031803453341126e-05
2.387951227643142916e-04,-6.291712634265422821e-05
2.388463227643039955e-04,-6.285400013439357281e-05
2.388975227642936995e-04,-6.279093213379383087e-05
2.389487227642834034e-04,-6.272792961681261659e-05
2.389999227642731073e-04,-6.266499258344992995e-05
2.390511227642628112e-04,-6.260212103370577097e-05
2.391023227642525152e-04,-6.253930769162252545e-05
2.391535227642422191e-04,-6.247655983315780759e-05
2.392047227642319230e-04,-6.241387018235400319e-05
2.392559227642216269e-04,-6.235124601516872644e-05
2.393071227642113309e-04,-6.228868733160197735e-05
2.393583227642010348e-04,-6.222618685569614172e-05
2.394095227641907387e-04,-6.216375913936644793e-05
2.394607227641804427e-04,-6.210138235474005342e-05
2.395119227641701466e-04,-6.203907105373218656e-05
2.395631227641598505e-04,-6.197682523634284735e-05
2.396143227641495544e-04,-6.191464490257203579e-05
2.396655227641392584e-04,-6.185252277646213770e-05
2.397167227641289623e-04,-6.179045885801315308e-05
2.397679227641186662e-04,-6.172846042318269610e-05
2.398191227641083701e-04,-6.166652747197076678e-05
2.398703227640980741e-04,-6.160465272841975093e-05
2.399215227640877780e-04,-6.154284346848726273e-05
2.399727227640774819e-04,-6.148109241621568799e-05
2.400239227640671858e-04,-6.141940684756264091e-05
2.400751227640568898e-04,-6.135777948657050729e-05
2.401263227640465937e-04,-6.129621760919690132e-05
2.401775227640362976e-04,-6.123471393948420882e-05
2.402287227640260015e-04,-6.117327575339004397e-05
2.402799227640157055e-04,-6.111189577495679259e-05
2.403311227640054094e-04,-6.105058128014206886e-05
2.403823227639951133e-04,-6.098932499298825860e-05
2.404335227639848172e-04,-6.092813055147416890e-05
2.404847227639745212e-04,-6.086700159357860684e-05
2.405359227639642251e-04,-6.080592720536515117e-05
2.405871227639539290e-04,-6.074491830077022314e-05
2.406383227639436329e-04,-6.068397124181501567e-05
2.406895227639333369e-04,-6.062308239052072167e-05
2.407407227639230408e-04,-6.056225538486614823e-05
2.407919227639127447e-04,-6.050149022485129535e-05
2.408431227639024487e-04,-6.044078691047616303e-05
2.408943227638921526e-04,-6.038014544174075127e-05
2.409455227638818565e-04,-6.031956218066625297e-05
2.409967227638715604e-04,-6.025904076523147523e-05
2.410479227638612644e-04,-6.019857755745761096e-05
2.410991227638509683e-04,-6.013817983330227435e-05
2.411503227638406722e-04,-6.007784031680785120e-05
2.412015227638303761e-04,-6.001755900797434151e-05
2.412527227638200801e-04,-5.995733954478055239e-05
2.413039227638097840e-04,-5.989718192722648382e-05
2.413551227637994879e-04,-5.983708615531213582e-05
2.414063227637891918e-04,-5.977704859105870128e-05
2.414575227637788958e-04,-5.971706923446618021e-05
2.415087227637685997e-04,-5.965715172351337969e-05
2.415599227637583036e-04,-5.959729605820029974e-05
2.416111227637480075e-04,-5.953749860054813325e-05
2.416623227637377115e-04,-5.947775935055688024e-05
